iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,9,0.025043102
1000,-1.0,2.0,9,0.018571824
1500,-0.88,2.12,8,0.00945784
2000,-0.88,2.12,8,0.006902475
2500,-1.0,2.0,8,0.0075067175
3000,-0.62,2.38,8,0.0075952616
3500,-0.25,2.75,8,0.008251335
4000,-1.0,2.0,9,0.010259152
4500,0.0,2.22,9,0.0059596105
5000,0.0,2.25,8,0.008288816
5500,0.12,2.12,8,0.0037895553
6000,0.12,2.25,8,0.007808243
6500,0.25,2.25,8,0.007032353
7000,0.33,2.56,9,0.010981248
7500,0.12,2.12,8,0.0049202037
8000,0.0,2.0,8,0.0065030283
8500,0.12,2.12,8,0.0032379457
9000,0.12,2.12,8,0.008150342
9500,0.12,2.12,8,0.0032293242
10000,0.12,2.12,8,0.0042828224
10500,0.12,2.12,8,0.004306349
11000,0.12,2.12,8,0.0042789294
11500,0.62,2.62,8,0.008270703
12000,0.38,2.38,8,0.004717538
12500,0.0,2.0,8,0.010760361
13000,0.5,2.62,8,0.005552479
13500,0.5,2.5,8,0.005179288
14000,0.3,2.6,10,0.008656456
14500,0.25,2.38,8,0.0023654185
15000,0.12,2.12,8,0.0060933265
15500,0.25,2.25,8,0.0061930483
16000,0.8,3.3,10,0.0061911396
16500,1.0,3.22,9,0.007661462
17000,0.8,3.1,10,0.0028369958
17500,0.89,3.11,9,0.0075115617
18000,0.78,3.11,9,0.008429735
18500,0.5,2.62,8,0.014253639
19000,0.0,2.0,8,0.009244113
19500,1.18,3.64,11,0.0066907634
20000,0.5,3.5,8,0.0070867017
20500,2.25,5.25,8,0.0035259603
21000,2.12,4.62,8,0.0069402438
21500,2.5,5.5,8,0.005261897
22000,1.25,4.25,8,0.010090756
22500,0.5,2.5,8,0.0037173284
23000,2.12,5.12,8,0.009865695
23500,3.62,6.62,8,0.012944709
24000,1.62,4.62,8,0.013717311
24500,2.38,5.38,8,0.0054987767
25000,2.25,5.25,8,0.0056378916
25500,1.62,4.62,8,0.008209903
26000,2.62,5.62,8,0.004751284
26500,2.25,5.25,8,0.016563516
27000,2.25,5.25,8,0.015798576
27500,1.78,4.78,9,0.024419531
28000,1.78,4.78,9,0.0065614884
28500,2.89,5.89,9,0.0053891386
29000,3.25,6.25,8,0.0056320336
29500,2.25,5.25,8,0.039995965
30000,1.88,4.88,8,0.010284976
30500,2.11,5.11,9,0.0064733885
31000,1.62,4.62,8,0.012453178
31500,2.25,5.25,8,0.013037711
32000,2.88,5.88,8,0.026513517
32500,3.5,6.5,8,0.0149340695
33000,3.0,6.0,8,0.029377703
33500,3.38,6.38,8,0.005255106
34000,2.75,5.75,8,0.009836301
34500,5.12,8.12,8,0.008366789
35000,3.0,6.0,8,0.031830877
35500,3.0,6.0,8,0.0077939136
36000,3.0,6.0,9,0.028112307
36500,2.25,5.25,8,0.029843776
37000,3.38,6.38,8,0.005785024
37500,2.5,5.5,8,0.015080249
38000,2.62,5.62,8,0.019212184
38500,3.38,6.38,8,0.007798779
39000,2.56,5.56,9,0.007912804
39500,2.88,5.88,8,0.006084855
